#ValeursEloignees.dat
#QP puissance gauss-seidel
1.0E-4 10000 6
2.0E-4 10000 6
3.0000000000000003E-4 10000 6
4.0E-4 10000 6
5.0E-4 10000 6
6.000000000000001E-4 10000 6
7.000000000000001E-4 10000 6
8.000000000000001E-4 10000 6
9.000000000000002E-4 10000 6
0.0010000000000000002 10000 6
0.0011000000000000003 10000 6
0.0012000000000000003 9599 6
0.0013000000000000004 8964 6
0.0014000000000000004 8411 6
0.0015000000000000005 7927 6
0.0016000000000000005 7498 6
0.0017000000000000006 7116 6
0.0018000000000000006 6772 6
0.0019000000000000006 6462 6
0.0020000000000000005 6181 6
0.0021000000000000003 5924 6
0.0022 5689 6
0.0023 5473 6
0.0024 5273 6
0.0024999999999999996 5088 6
0.0025999999999999994 4916 6
0.0026999999999999993 4757 6
0.002799999999999999 4607 6
0.002899999999999999 4468 6
0.0029999999999999988 4337 6
0.0030999999999999986 4213 6
0.0031999999999999984 4097 6
0.0032999999999999982 3988 6
0.003399999999999998 3884 6
0.003499999999999998 3786 6
0.0035999999999999977 3693 6
0.0036999999999999976 3605 6
0.0037999999999999974 3521 6
0.0038999999999999972 3441 6
0.0039999999999999975 3365 6
0.004099999999999998 3292 6
0.004199999999999998 3223 6
0.004299999999999998 3156 6
0.0043999999999999985 3093 6
0.004499999999999999 3032 6
0.004599999999999999 2973 6
0.004699999999999999 2917 6
0.0048 2863 6
0.0049 2811 6
0.005 2761 6
0.0051 2713 6
0.005200000000000001 2666 6
0.005300000000000001 2621 6
0.005400000000000001 2578 6
0.005500000000000001 2536 6
0.005600000000000002 2496 6
0.005700000000000002 2457 6
0.005800000000000002 2419 6
0.0059000000000000025 2382 6
0.006000000000000003 2347 6
0.006100000000000003 2313 6
0.006200000000000003 2279 6
0.0063000000000000035 2247 6
0.006400000000000004 2216 6
0.006500000000000004 2185 6
0.006600000000000004 2155 6
0.0067000000000000046 2127 6
0.006800000000000005 2099 6
0.006900000000000005 2071 6
0.007000000000000005 2045 6
0.007100000000000006 2019 6
0.007200000000000006 1994 6
0.007300000000000006 1969 6
0.007400000000000006 1946 6
0.007500000000000007 1922 6
0.007600000000000007 1900 6
0.007700000000000007 1878 6
0.0078000000000000074 1856 6
0.007900000000000008 1835 6
0.008000000000000007 1814 6
0.008100000000000007 1794 6
0.008200000000000006 1774 6
0.008300000000000005 1755 6
0.008400000000000005 1736 6
0.008500000000000004 1718 6
0.008600000000000003 1700 6
0.008700000000000003 1683 6
0.008800000000000002 1665 6
0.008900000000000002 1649 6
0.009000000000000001 1632 6
0.0091 1616 6
0.0092 1600 6
0.0093 1585 6
0.009399999999999999 1569 6
0.009499999999999998 1555 6
0.009599999999999997 1540 6
0.009699999999999997 1526 6
0.009799999999999996 1512 6
0.009899999999999996 1498 6
