#ValeursProches.dat
#QP puissance gauss-seidel
1.0E-4 10000 29
2.0E-4 10000 33
3.0000000000000003E-4 10000 34
4.0E-4 10000 34
5.0E-4 10000 34
6.000000000000001E-4 9775 33
7.000000000000001E-4 8484 33
8.000000000000001E-4 7491 33
9.000000000000002E-4 6704 32
0.0010000000000000002 6065 32
0.0011000000000000003 5537 32
0.0012000000000000003 5093 31
0.0013000000000000004 4714 31
0.0014000000000000004 4388 31
0.0015000000000000005 4104 31
0.0016000000000000005 3854 31
0.0017000000000000006 3633 30
0.0018000000000000006 3436 30
0.0019000000000000006 3259 30
0.0020000000000000005 3099 30
0.0021000000000000003 2954 30
0.0022 2822 30
0.0023 2702 29
0.0024 2591 29
0.0024999999999999996 2489 29
0.0025999999999999994 2395 29
0.0026999999999999993 2307 29
0.002799999999999999 2226 29
0.002899999999999999 2150 29
0.0029999999999999988 2079 29
0.0030999999999999986 2013 28
0.0031999999999999984 1951 28
0.0032999999999999982 1892 28
0.003399999999999998 1837 28
0.003499999999999998 1785 28
0.0035999999999999977 1736 28
0.0036999999999999976 1690 28
0.0037999999999999974 1646 28
0.0038999999999999972 1604 28
0.0039999999999999975 1564 28
0.004099999999999998 1527 27
0.004199999999999998 1491 27
0.004299999999999998 1456 27
0.0043999999999999985 1423 27
0.004499999999999999 1392 27
0.004599999999999999 1362 27
0.004699999999999999 1333 27
0.0048 1306 27
0.0049 1279 27
0.005 1254 27
0.0051 1229 27
0.005200000000000001 1206 27
0.005300000000000001 1183 27
0.005400000000000001 1162 27
0.005500000000000001 1141 26
0.005600000000000002 1120 26
0.005700000000000002 1101 26
0.005800000000000002 1082 26
0.0059000000000000025 1064 26
0.006000000000000003 1046 26
0.006100000000000003 1029 26
0.006200000000000003 1013 26
0.0063000000000000035 997 26
0.006400000000000004 981 26
0.006500000000000004 966 26
0.006600000000000004 952 26
0.0067000000000000046 938 26
0.006800000000000005 924 26
0.006900000000000005 911 26
0.007000000000000005 898 26
0.007100000000000006 885 26
0.007200000000000006 873 26
0.007300000000000006 861 25
0.007400000000000006 849 25
0.007500000000000007 838 25
0.007600000000000007 827 25
0.007700000000000007 816 25
0.0078000000000000074 806 25
0.007900000000000008 796 25
